isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
IE00B5BMR087,London Stock Exchange,GBX,CSP1,- -,- -,-
IE00B5BMR087,gettex,EUR,SXR8,- -,- -,-
IE00B5BMR087,Stuttgart Stock Exchange,EUR,SXR8,- -,- -,-
IE00B5BMR087,Bolsa Mexicana de Valores,MXN,-,CSPXN.MX,CSPX MM,
IE00B5BMR087,Borsa Italiana,EUR,CSSPX,CSSPX.MI IXM0461.DE,CSSPX IM IXM0461,
IE00B5BMR087,Euronext Amsterdam,EUR,CSPX,CSPX.AS IXM0461.DE,CSPX NA IXM0461,
IE00B5BMR087,London Stock Exchange,USD,CSPX,CSPX.L IXM046.DE,CSPX LN IXM046,
IE00B5BMR087,London Stock Exchange,GBP,-,CSP1.L,CSP1 LN IXM0462,
IE00B5BMR087,SIX Swiss Exchange,USD,CSSPX,CSSPX.S IXM046.DE,CSSPX SE IXM046,
IE00B5BMR087,XETRA,EUR,SXR8,SXR8.DE IXM0461.DE,SXR8 GY IXM0461,
IE00B4L5Y983,London Stock Exchange,GBX,SWDA,- -,- -,-
IE00B4L5Y983,gettex,EUR,EUNL,- -,- -,-
IE00B4L5Y983,Stuttgart Stock Exchange,EUR,EUNL,- -,- -,-
IE00B4L5Y983,Bolsa Mexicana de Valores,MXN,-,IWDAN.MX,IWDAN MM,
IE00B4L5Y983,Borsa Italiana,EUR,SWDA,SWDA.MI IWDAEUR.DE,SWDA IM INAVIWDE,
IE00B4L5Y983,Euronext Amsterdam,EUR,IWDA,IWDA.AS IWDAEUR.DE,IWDA NA INAVIWDE,
IE00B4L5Y983,London Stock Exchange,USD,IWDA,IWAD.L IWDAUSD.DE,IWDA LN INAVIWDU,
IE00B4L5Y983,London Stock Exchange,GBP,SWDA,SWDA.L 0TV6INAV.DE,SWDA LN INAVIWDG,
IE00B4L5Y983,SIX Swiss Exchange,USD,SWDA,SWDA.S FX0AINAV.DE,SWDA SE INAVIWDU,
IE00B4L5Y983,XETRA,EUR,EUNL,EUNL.DE IWDAEUR.DE,EUNL GY INAVIWDE,
IE00B3XXRP09,Euronext Paris,EUR,VUSA,- -,- -,-
IE00B3XXRP09,gettex,EUR,VUSA,- -,- -,-
IE00B3XXRP09,Stuttgart Stock Exchange,EUR,VUSA,- -,- -,-
IE00B3XXRP09,Bolsa Mexicana de Valores,MXN,-,VUSDN.MX,VUSDN MM,
IE00B3XXRP09,Bolsa Mexicana de Valores,USD,-,,,
IE00B3XXRP09,Borsa Italiana,EUR,VUSA,,IVUSA,
IE00B3XXRP09,Frankfurt Stock Exchange,EUR,-,,IVUSA,
IE00B3XXRP09,Euronext Amsterdam,EUR,VUSA,VUSA.AS,VUSA NA IVUSAEUR,
IE00B3XXRP09,London Stock Exchange,USD,VUSD,VUSD.L,VUSD LN IVUSDUSD,
IE00B3XXRP09,London Stock Exchange,GBP,VUSA,VUSA.L,VUSA LN IVUSAGBP,
IE00B3XXRP09,SIX Swiss Exchange,CHF,VUSA,VUSA.S,VUSA SW IVUSACHF,
IE00B3XXRP09,XETRA,EUR,VUSA,VUSA.DE,VUSA GY IVUSAEUR,
IE00B3YCGJ38,London Stock Exchange,GBX,SPXP,- -,- -,-
IE00B3YCGJ38,gettex,EUR,P500,- -,- -,-
IE00B3YCGJ38,Borsa Italiana,EUR,SPXS,SPXS.MI P500IN.DE,SPXS IM P500IN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B3YCGJ38,Euronext Amsterdam,EUR,SPXS,SPXS.AS P500IN.DE,SPXS NA P500IN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B3YCGJ38,London Stock Exchange,USD,SPXS,SPXS.L SPXSINAV.DE,SPXS LN SPXSIN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B3YCGJ38,London Stock Exchange,GBP,-,SPXP.L SPXSINAV.DE,SPXP LN SPXSIN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B3YCGJ38,SIX Swiss Exchange,USD,SPXS,SPXS.S SPXSINAV.DE,SPXS SW SPXSIN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B3YCGJ38,XETRA,EUR,P500,P500.DE P500IN.DE,P500 GY P500IN,Banca IMI Commerzbank Flow Traders KCG Optiver Susquehanna UniCredit Virtu Financial
IE00B4ND3602,London Stock Exchange,GBX,SGLN,- -,- -,-
IE00B4ND3602,London Stock Exchange,EUR,EGLN,- -,- -,-
IE00B4ND3602,London Stock Exchange,USD,IGLN,- -,- -,-
IE00B4ND3602,XETRA,EUR,PPFB,- -,- -,-
IE00B4ND3602,gettex,EUR,PPFB,- -,- -,-
IE00B4ND3602,Stuttgart Stock Exchange,EUR,PPFB,- -,- -,-
IE00BKM4GZ66,London Stock Exchange,GBX,EMIM,- -,- -,-
IE00BKM4GZ66,gettex,EUR,IS3N,- -,- -,-
IE00BKM4GZ66,Stuttgart Stock Exchange,EUR,IS3N,- -,- -,-
IE00BKM4GZ66,Bolsa Mexicana de Valores,MXN,-,EIMIN.MX,EIMIN MM,
IE00BKM4GZ66,Borsa Italiana,EUR,EIMI,EIMI.MI X2EQINAV.DE,EIMI IM INAVMIME,
IE00BKM4GZ66,Euronext Amsterdam,EUR,EMIM,EMIM.AS X2EQINAV.DE,EMIM NA INAVMIME,
IE00BKM4GZ66,London Stock Exchange,USD,EIMI,EIMI.L X2EUINAV.DE,EIMI LN INAVMIMU,
IE00BKM4GZ66,London Stock Exchange,GBP,-,EMIM.L X2ESINAV.DE,EMIM LN INAVMIMG,
IE00BKM4GZ66,SIX Swiss Exchange,USD,EIMI,EIMI.S X2EUINAV.DE,EIMI SE INAVMIMU,
IE00BKM4GZ66,XETRA,EUR,IS3N,IS3N.DE X2EQINAV.DE,IS3N GY INAVMIME,
IE00BK5BQT80,gettex,EUR,VWCE,- -,- -,-
IE00BK5BQT80,Stuttgart Stock Exchange,EUR,VWCE,- -,- -,-
IE00BK5BQT80,Borsa Italiana,EUR,VWCE,,IVWRAEUR,
