symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
IE00B5BMR087,IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),USD,113692,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,SXR8,A0YEDG
IE00B4L5Y983,IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),USD,108234,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.2,EUNL,A0RPWH
IE00B3XXRP09,IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,USD,42311,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,VUSA,A1JX53
IE00B3YCGJ38,IE00B3YCGJ38,Invesco S&P 500 UCITS ETF Acc,USD,30622,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.05,P500,A1CYW7
IE00B4ND3602,IE00B4ND3602,iShares Physical Gold ETC,USD,28701,Ireland,"gettex, XETRA, London, Stuttgart",ETC,0.12,PPFB,A1KWPQ
IE00BKM4GZ66,IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),USD,26571,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.18,IS3N,A111X9
IE00BK5BQT80,IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,USD,26303,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.19,VWCE,A2PKXG
IE00BFMXXD54,IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,USD,25434,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.07,VUAA,A2PFN2
IE00B579F325,IE00B579F325,Invesco Physical Gold A,USD,24301,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETC,0.12,8PSG,A1AA5X
IE00B6R52259,IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),USD,21059,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.2,IUSQ,A1JMDF
DE000A0S9GB0,DE000A0S9GB0,Xetra-Gold,EUR,20612,Germany,"gettex, XETRA, Stuttgart",ETC,0.0,4GLD,A0S9GB
IE00B53SZB19,IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc),USD,18687,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.3,SXRV,A0YEDL
IE00B3RBWM25,IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing,USD,18496,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.19,VGWL,A1JX52
LU0290358497,LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,18343,Luxembourg,"gettex, XETRA, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.1,XEON,DBX0AN
IE0031442068,IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),USD,17290,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,IUSA,622391
IE00BJ0KDQ92,IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,USD,15945,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.12,XDWD,A1XB5U
IE0005042456,IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),GBP,15745,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,IUSZ,552752
IE00BGSF1X88,IE00BGSF1X88,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),USD,15239,Ireland,"gettex, London, SIX Swiss Exchange",ETF,0.07,IBC1,A2PBNP
IE00B6YX5C33,IE00B6YX5C33,SPDR S&P 500 UCITS ETF (Dist),USD,15146,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.03,SPY5,A1JULM
LU0908500753,LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,14677,Luxembourg,"gettex, XETRA, London, Euronext Paris, Stuttgart, Borsa Italiana",ETF,0.07,LYP6,LYX0Q0
