isin,ticker,exchange,name,currency,ter
IE00B5BMR087,CSP1,London Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Acc),GBX,0.07
IE00B5BMR087,SXR8,gettex,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.07
IE00B5BMR087,SXR8,Stuttgart Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.07
IE00B5BMR087,-,Bolsa Mexicana de Valores,iShares Core S&P 500 UCITS ETF USD (Acc),MXN,0.07
IE00B5BMR087,CSSPX,Borsa Italiana,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.07
IE00B5BMR087,CSPX,Euronext Amsterdam,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.07
IE00B5BMR087,CSPX,London Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Acc),USD,0.07
IE00B5BMR087,-,London Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Acc),GBP,0.07
IE00B5BMR087,CSSPX,SIX Swiss Exchange,iShares Core S&P 500 UCITS ETF USD (Acc),USD,0.07
IE00B5BMR087,SXR8,XETRA,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.07
IE00B4L5Y983,SWDA,London Stock Exchange,iShares Core MSCI World UCITS ETF USD (Acc),GBX,0.2
IE00B4L5Y983,EUNL,gettex,iShares Core MSCI World UCITS ETF USD (Acc),EUR,0.2
IE00B4L5Y983,EUNL,Stuttgart Stock Exchange,iShares Core MSCI World UCITS ETF USD (Acc),EUR,0.2
IE00B4L5Y983,SWDA,Borsa Italiana,iShares Core MSCI World UCITS ETF USD (Acc),EUR,0.2
IE00B4L5Y983,IWDA,Euronext Amsterdam,iShares Core MSCI World UCITS ETF USD (Acc),EUR,0.2
IE00B4L5Y983,IWDA,London Stock Exchange,iShares Core MSCI World UCITS ETF USD (Acc),USD,0.2
IE00B4L5Y983,SWDA,SIX Swiss Exchange,iShares Core MSCI World UCITS ETF USD (Acc),USD,0.2
IE00B4L5Y983,EUNL,XETRA,iShares Core MSCI World UCITS ETF USD (Acc),EUR,0.2
IE00B3XXRP09,VUSA,Euronext Paris,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,VUSA,gettex,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,VUSA,Stuttgart Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,-,Bolsa Mexicana de Valores,Vanguard S&P 500 UCITS ETF (USD) Distributing,USD,0.07
IE00B3XXRP09,VUSA,Borsa Italiana,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,-,Frankfurt Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,VUSA,Euronext Amsterdam,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3XXRP09,VUSD,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Distributing,USD,0.07
IE00B3XXRP09,VUSA,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Distributing,GBP,0.07
IE00B3XXRP09,VUSA,SIX Swiss Exchange,Vanguard S&P 500 UCITS ETF (USD) Distributing,CHF,0.07
IE00B3XXRP09,VUSA,XETRA,Vanguard S&P 500 UCITS ETF (USD) Distributing,EUR,0.07
IE00B3YCGJ38,SPXP,London Stock Exchange,Invesco S&P 500 UCITS ETF Acc,GBX,0.05
IE00B3YCGJ38,P500,gettex,Invesco S&P 500 UCITS ETF Acc,EUR,0.05
IE00B3YCGJ38,SPXS,Borsa Italiana,Invesco S&P 500 UCITS ETF Acc,EUR,0.05
IE00B3YCGJ38,SPXS,Euronext Amsterdam,Invesco S&P 500 UCITS ETF Acc,EUR,0.05
IE00B3YCGJ38,SPXS,London Stock Exchange,Invesco S&P 500 UCITS ETF Acc,USD,0.05
IE00B3YCGJ38,SPXS,SIX Swiss Exchange,Invesco S&P 500 UCITS ETF Acc,USD,0.05
IE00B3YCGJ38,P500,XETRA,Invesco S&P 500 UCITS ETF Acc,EUR,0.05
IE00B4ND3602,SGLN,London Stock Exchange,iShares Physical Gold ETC,GBX,0.12
IE00B4ND3602,EGLN,London Stock Exchange,iShares Physical Gold ETC,EUR,0.12
IE00B4ND3602,IGLN,London Stock Exchange,iShares Physical Gold ETC,USD,0.12
IE00B4ND3602,PPFB,XETRA,iShares Physical Gold ETC,EUR,0.12
IE00B4ND3602,PPFB,gettex,iShares Physical Gold ETC,EUR,0.12
IE00B4ND3602,PPFB,Stuttgart Stock Exchange,iShares Physical Gold ETC,EUR,0.12
IE00BKM4GZ66,EMIM,London Stock Exchange,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),GBX,0.18
IE00BKM4GZ66,IS3N,gettex,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BKM4GZ66,IS3N,Stuttgart Stock Exchange,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BKM4GZ66,EIMI,Borsa Italiana,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BKM4GZ66,EMIM,Euronext Amsterdam,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BKM4GZ66,EIMI,London Stock Exchange,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),USD,0.18
IE00BKM4GZ66,EIMI,SIX Swiss Exchange,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),USD,0.18
IE00BKM4GZ66,IS3N,XETRA,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BK5BQT80,VWCE,gettex,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Stuttgart Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Borsa Italiana,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Euronext Amsterdam,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWRA,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,USD,0.19
IE00BK5BQT80,VWRP,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,GBP,0.19
IE00BK5BQT80,VWRA,SIX Swiss Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,CHF,0.19
IE00BK5BQT80,VWCE,XETRA,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BFMXXD54,VUAA,gettex,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00BFMXXD54,VUAA,Borsa Italiana,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00BFMXXD54,VUAA,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Accumulating,USD,0.07
IE00BFMXXD54,VUAG,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Accumulating,GBP,0.07
IE00BFMXXD54,VUAA,XETRA,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00B579F325,SGLD,SIX Swiss Exchange,Invesco Physical Gold A,USD,0.12
IE00B579F325,SGLD,Euronext Amsterdam,Invesco Physical Gold A,EUR,0.12
IE00B579F325,SGLD,Borsa Italiana,Invesco Physical Gold A,EUR,0.12
IE00B579F325,SGLP,London Stock Exchange,Invesco Physical Gold A,GBX,0.12
IE00B579F325,SGLD,London Stock Exchange,Invesco Physical Gold A,USD,0.12
IE00B579F325,8PSG,XETRA,Invesco Physical Gold A,EUR,0.12
IE00B579F325,8PSG,gettex,Invesco Physical Gold A,EUR,0.12
IE00B6R52259,SSAC,London Stock Exchange,iShares MSCI ACWI UCITS ETF USD (Acc),GBX,0.2
IE00B6R52259,IUSQ,gettex,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
